"site","comid","id","fdate","resolution","gnis_id","gnis_name","lengthkm","reachcode","flowdir","wbareacomi","ftype","fcode","shape_length","streamleve","streamorde","streamcalc","fromnode","tonode","hydroseq","levelpathi","pathlength","terminalpa","arbolatesu","divergence","startflag","terminalfl","dnlevel","uplevelpat","uphydroseq","dnlevelpat","dnminorhyd","dndraincou","dnhydroseq","frommeas","tomeas","rtndiv","vpuin","vpuout","areasqkm","totdasqkm","divdasqkm","tidal","totma","wbareatype","pathtimema","hwnodesqkm","maxelevraw","minelevraw","maxelevsmo","minelevsmo","slope","elevfixed","hwtype","slopelenkm","qa_ma","va_ma","qc_ma","vc_ma","qe_ma","ve_ma","qa_01","va_01","qc_01","vc_01","qe_01","ve_01","qa_02","va_02","qc_02","vc_02","qe_02","ve_02","qa_03","va_03","qc_03","vc_03","qe_03","ve_03","qa_04","va_04","qc_04","vc_04","qe_04","ve_04","qa_05","va_05","qc_05","vc_05","qe_05","ve_05","qa_06","va_06","qc_06","vc_06","qe_06","ve_06","qa_07","va_07","qc_07","vc_07","qe_07","ve_07","qa_08","va_08","qc_08","vc_08","qe_08","ve_08","qa_09","va_09","qc_09","vc_09","qe_09","ve_09","qa_10","va_10","qc_10","vc_10","qe_10","ve_10","qa_11","va_11","qc_11","vc_11","qe_11","ve_11","qa_12","va_12","qc_12","vc_12","qe_12","ve_12","lakefract","surfarea","rareahload","rpuid","vpuid","enabled","huc2","huc4","huc6","huc8","huc10","huc12","WsPctFull.x","PctAg2006Slp10Ws","PctAg2006Slp20Ws","WsPctFull.y","CanalDensWs","WsPctFull.x.x","CoalMineDensWs","WsPctFull.y.y","DamDensWs","DamNIDStorWs","DamNrmStorWs","WsPctFull.x.x.x","PctImp2006Ws","PctImp2008Ws","PctImp2011Ws","PctImp2001Ws","PctImp2013Ws","PctImp2019Ws","PctImp2016Ws","PctImp2004Ws","WsPctFull.y.y.y","PctOw2016Ws","PctIce2016Ws","PctUrbOp2016Ws","PctUrbLo2016Ws","PctUrbMd2016Ws","PctUrbHi2016Ws","PctBl2016Ws","PctDecid2016Ws","PctConif2016Ws","PctMxFst2016Ws","PctShrb2016Ws","PctGrs2016Ws","PctHay2016Ws","PctCrop2016Ws","PctWdWet2016Ws","PctHbWet2016Ws","AriditySite","AridityWs","OmernikIIISite","OmernikIISite","OmernikISite","OmernikIIIWs","OmernikIIWs","OmernikIWs","TmeanSite","TmaxSite","TminSite","PrecipSite","AluminumSite","CalciumSite","CopperSite","IronSite","ManganeseSite","PhosphSite","AluminumWs","CalciumWs","CopperWs","IronWs","ManganeseWs","PhosphWs","geometry"
"CT-PHEL",6109235,"nhdflowline_network.52531","1999-09-05 21:00:00","Medium","209730","Phelps Brook","5.659","01080207000238","With Digitized","0","StreamRiver","46006","0.0605752921220155","5","1","1","150058708","150024993","150058009","150043045","163.783","150002258","5.659","0","1","0","5","0","0","150043045","0","1","150043045","0","100","0","0","0","7.8183","7.8183","7.8183","0","0.21845034759"," ","193.196857235","0.0891","26667","15275","26667","15275","0.02068264","0","H","5.508","6.567","0.97695","7.433","0.98369","7.433","0.98369","2.963","0.74653","8.302","1.02453","8.302","1.02453","1.485","0.61199","7.753","0.99898","7.753","0.99898","5.612","0.92343","67.326","2.48448","67.326","2.48448","15.087","1.34822","24.85","1.59022","24.85","1.59022","13.985","1.30717","11.284","1.15128","11.284","1.15128","7.361","1.01873","6.294","0.92661","6.294","0.92661","3.983","0.82105","2.868","0.71566","2.868","0.71566","2.599","0.71707","2.593","0.69444","2.593","0.69444","4.534","0.85757","4.94","0.85199","4.94","0.85199","6.75","0.98678","6.323","0.92812","6.323","0.92812","8.407","1.07066","7.224","0.97354","7.224","0.97354","6.027","0.94717","9.045","1.05788","9.045","1.05788",NA,NA,NA,"01a","01","1","HUC-01","HUC-0108","HUC-010802","HUC-01080207","HUC-0108020704","HUC-010802070401",100,0.59,0,100,0,100,0,100,0,0,0,100,1.51,1.51,1.52,1.45,1.56,1.59,1.57,1.48,100,0.25,0,6,3.27,0.3,0,0,49.95,2.59,19.28,0.08,0.31,4.29,0,13.54,0.14,0.199999963378906,1.128575,"Southern Rockies","WESTERN CORDILLERA","NORTHWESTERN FORESTED MOUNTAINS","Northeastern Coastal Zone","MIXED WOOD PLAINS","EASTERN TEMPERATE FORESTS",3.57489991188049,12.7599992752075,-5.60969972610474,263.915008544922,6.26617622375488,2.61179661750793,90,4.57657957077026,961.368591308594,0.161198765039444,5.80362925630935,1.72105038419683,95.7393740390209,3.20405468534916,1362.31926321476,0.0761903636950128,c(-106.954043, 38.530225)
"CT-POPE",4572347,"nhdflowline_network.40834","1999-08-12 21:00:00","Medium","1459041","Pope Brook","5.068","01080102000101","With Digitized","0","StreamRiver","46006","0.0596985101664643","5","1","1","150055244","150015747","150061434","150061434","479.525","150002258","5.068","0","1","0","4","0","0","150045008","0","1","150045008","0","100","0","0","0","11.1456","11.1456","11.1456","0","0.174496819573"," ","9.35540000634","1.4841","49819","30899","49819","30899","0.03847092","0","H","4.918","8.208","1.10044","9.256","1.10819","8.523","1.10286","2.376","0.71847","6.728","0.98356","7.312","1.04077","1.181","0.5913","6.255","0.95793","5.266","0.92362","0.599","0.50568","12.338","1.24005","9.354","1.14309","7.733","1.07576","11.91","1.22275","27.247","1.78099","21.317","1.62315","17.054","1.41478","13.026","1.30356","16.236","1.44616","12.548","1.24844","6.185","0.97848","9.552","1.16685","6.378","0.96468","4.716","0.88862","7.816","1.08012","6.827","0.98882","4.41","0.86831","7.667","1.07228","7.68","1.03272","3.903","0.83315","9.643","1.17119","8.791","1.08659","5.534","0.94005","9.713","1.17451","8.329","1.0646","7.929","1.07296","4.752","0.90092","7.13","1.0047","7.475","1.04939",NA,NA,NA,"01a","01","1","HUC-01","HUC-0108","HUC-010801","HUC-01080102","HUC-0108010204","HUC-010801020401",100,7.55,0.62,100,0,100,0,100,0,0,0,100,0.72,0.74,0.75,0.72,0.75,0.8,0.8,0.72,100,0,0,2.75,0.93,0.46,0.08,0,49.26,9.12,17.1,3.88,1.32,12.69,1.29,1.06,0.06,0.1955,1.30949983552632,"Southern Rockies","WESTERN CORDILLERA","NORTHWESTERN FORESTED MOUNTAINS","Northern Appalachian and Atlantic Maritime Highlands","ATLANTIC HIGHLANDS","NORTHERN FORESTS",3.79999995231628,12.9200000762939,-5.318199634552,255.485000610352,6.41951990127563,2.56159806251526,90,4.60435009002686,991.628662109375,0.162307664752007,3.87258381396532,1.88586013205349,98.6356103420258,2.07387877255678,708.283583641052,0.0446617728448473,c(-106.99268, 38.51811)
"CT-SLPR",4572307,"nhdflowline_network.40798","1999-08-12 21:00:00","Medium","1459534","Sleepers River","6.831","01080102000065","With Digitized","0","StreamRiver","46006","0.0720199704899927","3","3","3","150015756","150015773","150024131","150022015","467.406","150002258","70.278","0","0","0","3","150022015","150026827","150022015","0","1","150022015","1.23068","100","0","0","0","15.7788","120.4659","120.4659","0","0.194887531631"," ","8.99578194211",NA,"-9998","16379","21121","16531","0.00671936","0"," ","6.831","74.019","1.33026","80.455","1.33719","74.665","1.33098","23.563","0.86484","59.721","1.18661","66.546","1.27035","11.805","0.6939","53.968","1.14062","48.145","1.11844","6.511","0.58946","75.357","1.30204","100.954","1.50862","100.069","1.50771","199.31","1.97383","230.344","2.16833","205.89","2.06759","157.409","1.77766","109.161","1.55949","129.168","1.68179","76.569","1.31049","48.226","1.11916","72.815","1.3214","40.786","1.02563","39.376","1.03641","54.789","1.1794","37.843","0.99766","39.455","1.03719","56.591","1.19449","41.138","1.02891","31.186","0.95162","83.203","1.39574","64.374","1.22231","57.539","1.19886","97.127","1.48885","80.512","1.33757","75.1","1.33414","47.205","1.11314","70.894","1.27034","72.744","1.31693",NA,NA,NA,"01a","01","1","HUC-01","HUC-0108","HUC-010801","HUC-01080102","HUC-0108010204","HUC-010801020401",100,8.42,1.15,100,0,100,0,100,0,0,0,100,1.71,1.73,1.74,1.68,1.76,1.79,1.78,1.7,100,0.03,0,3.47,1.93,1.28,0.15,0.02,31.3,17.37,23.38,3,1.29,13.36,0.65,2.6,0.17,1.199,1.21426829410475,"Northern Appalachian and Atlantic Maritime Highlands","ATLANTIC HIGHLANDS","NORTHERN FORESTS","Northern Appalachian and Atlantic Maritime Highlands","ATLANTIC HIGHLANDS","NORTHERN FORESTS",4.98000001907349,11.3499994277954,-1.39169991016388,1157.95703125,5.05443000793457,2.54442501068115,98.002571105957,1.98102962970734,649.349243164062,0.0492344573140144,3.96072277977721,1.95394300497495,98.6640246619097,2.12811159186679,730.774819728012,0.0460136033011432,c(-71.889142, 44.665248)
"CT-STIL",6111419,"nhdflowline_network.52344","1999-09-05 21:00:00","Medium","210634","Sandy Brook","1.918","01080207000070","With Digitized","0","StreamRiver","46006","0.0206756401838007","4","4","4","150025109","150025064","150011868","150011508","179.418","150002258","137.278","0","0","0","4","150011508","150012694","150011508","0","1","150011508","0","100","0","0","0","1.9152","222.6708","222.6708","0","0.0491047064323"," ","2.90157340785",NA,"-9998","15078","16174","15078","0.00571428","0"," ","1.918","192.441","1.48737","205.858","1.49382","184.19","1.48319","68.374","0.98895","164.592","1.36104","213.972","1.58051","34.096","0.77873","145.652","1.29488","216.033","1.587","114.549","1.20348","663.633","2.51545","324.206","1.89457","382.654","2.00668","872.014","2.85985","350.603","1.96189","489.679","2.2443","367.936","1.92199","223.387","1.60993","261.104","1.69473","141.456","1.27969","146.776","1.34975","140.033","1.30424","74.123","0.99754","71.467","1.01901","100.76","1.14455","64.666","0.94936","62.305","0.96908","140.183","1.3048","88.108","1.06379","87.582","1.10004","197.024","1.50219","142.755","1.28441","141.175","1.32846","243.87","1.64537","199.428","1.47401","176.184","1.45579","138.345","1.29784","207.858","1.49992","200.26","1.53655",NA,NA,NA,"01a","01","1","HUC-01","HUC-0108","HUC-010802","HUC-01080207","HUC-0108020701","HUC-010802070102",100,0.92,0.09,100,0,100,0,100,0.0763,171880.0316,151039.9614,100,2.22,2.26,2.38,2.09,2.4,2.46,2.42,2.15,100,2.5,0,5.25,2.7,1.46,0.35,0.18,29.11,3.33,43.62,0.27,0.36,2.37,0.03,8.07,0.41,1.13280009765625,1.20861998409598,"Northern Appalachian and Atlantic Maritime Highlands","ATLANTIC HIGHLANDS","NORTHERN FORESTS","Northern Appalachian and Atlantic Maritime Highlands","ATLANTIC HIGHLANDS","NORTHERN FORESTS",4.9899001121521,11.3199996948242,-1.34089994430542,1122.92993164062,4.92117166519165,2.41152358055115,98.5839614868164,2.45815467834473,819.866821289062,0.0525476336479187,5.92336975625067,2.29016869519696,97.7539046721025,2.92119479648995,1148.79863854611,0.0894963483015696,c(-71.822884, 44.513207)
"CT-THOM",7700898,"nhdflowline_network.51370","2008-07-20 21:00:00","Medium","206425","Connecticut River","1.1","01080205000970","With Digitized","120049705","ArtificialPath","55800","0.0104140431758124","1","6","6","150039110","150039111","150002345","150002258","106.577","150002258","17046.195","0","0","0","1","150002258","150002346","150002258","150002344","2","150002343","0","83.41139","0","0","0","1.2924","25008.6483","25008.6483","0","0.0154983654194","StreamRiver","0.175355067351",NA,"-9998","1099","1162","1099","0.00057272","0"," ","1.1","17591.384","2.68798","17449.3","2.68642","18253.897","2.69512","5851.065","1.63472","11357.741","2.20158","15887.943","2.52552","2956.993","1.23154","9494.81","2.02978","15858.013","2.5233","6506.014","1.71159","14218.665","2.44144","27760.361","3.29021","30300.294","3.48451","107102.732","6.54081","43996.571","4.11623","45131.292","4.23281","30974.553","3.53359","27334.034","3.26581","29354.767","3.43149","8693.65","1.95106","14814.017","2.44463","16345.449","2.59695","5732.087","1.62512","9414.053","1.98758","11305.487","2.19007","4106.56","1.41143","8356.636","1.88463","11710.181","2.22554","3619.726","1.33994","7700.039","1.81761","17722.287","2.69737","9116.606","1.99302","13083.631","2.30828","22264.069","3.00505","17035.222","2.65629","16664.732","2.58243","11765.954","2.23038","17708.579","2.70512","18290.618","2.69767",NA,NA,NA,"01a","01","1","HUC-01","HUC-0108","HUC-010802","HUC-01080205","HUC-0108020501","HUC-010802050105",98.817,2.18,0.3,100,3e-04,98.8167,0,98.8167,0.0323,203143.674,122714.3826,98.817,2.13,2.16,2.19,2.06,2.23,2.28,2.25,2.09,98.817,1.99,0,3.84,2.31,1.44,0.4,0.19,29.97,16.12,29.69,1.79,1.09,4.92,0.71,5.24,0.31,1.0880001953125,1.1933602461786,"Northern Appalachian and Atlantic Maritime Highlands","ATLANTIC HIGHLANDS","NORTHERN FORESTS","Northern Appalachian and Atlantic Maritime Highlands","ATLANTIC HIGHLANDS","NORTHERN FORESTS",5.88489961624146,12.0199995040894,-0.25450000166893,1028.126953125,4.10611724853516,2.1408896446228,98.7506866455078,2.33680438995361,799.257690429688,0.048230554908514,5.25691255748209,1.83660108990706,98.8798940578889,2.989829786878,1080.41517822514,0.0737291027383412,c(-72.058597, 44.447065)
"CT-UNIO",6109643,"nhdflowline_network.52286","2008-07-20 21:00:00","Medium","211923","West Branch Farmington River","0.782","01080207000019","With Digitized","7710638","ArtificialPath","55800","0.00937621012781695","3","5","5","150025000","150025049","150005043","150004688","147.726","150002258","586.121","0","0","0","3","150004688","150005093","150004688","0","1","150004994","0","14.88897","0","0","0","0.8298","978.5736","978.5736","0","0.0329702326253","StreamRiver","2.0096275621",NA,"-9998","5963","6232","6232","1e-05","0"," ","0.782","829.84","0.91122","866.264","0.91332","667.039","0.90065","310.204","0.66589","694.065","0.84616","691.254","0.91197","156.116","0.55666","605.059","0.80836","670.574","0.90231","549.433","0.79268","2180.301","1.29596","1005.316","1.04479","1716.964","1.19528","4549.247","1.76781","1275.627","1.14405","2058.62","1.28499","1502.97","1.11893","834.61","0.9755","1099.281","1.00829","495.536","0.75806","696.931","0.9146","588.514","0.81067","275.135","0.6374","370.926","0.74208","397.218","0.71604","216.061","0.59777","428.949","0.77687","566.782","0.80074","284.733","0.64345","401.976","0.76099","837.388","0.91412","543.447","0.78065","475.615","0.80328","1055.533","0.99336","844.742","0.90529","593.717","0.86514","627.892","0.82825","943.938","0.94154","628.518","0.88223",NA,NA,NA,"01a","01","1","HUC-01","HUC-0108","HUC-010802","HUC-01080207","HUC-0108020704","HUC-010802070405",100,0.77,0.07,100,0,100,0,100,0.0572,491505.5301,304444.0787,100,1.53,1.55,1.62,1.42,1.65,1.7,1.67,1.47,100,3.96,0,5.21,2.17,0.88,0.16,0.18,30.06,3.64,42.67,0.49,0.59,1.96,0.04,7.61,0.37,1.35789990234375,1.18986578322221,"Northern Appalachian and Atlantic Maritime Highlands","ATLANTIC HIGHLANDS","NORTHERN FORESTS","Northern Appalachian and Atlantic Maritime Highlands","ATLANTIC HIGHLANDS","NORTHERN FORESTS",4.59489965438843,10.2898998260498,-1.1032999753952,1278.27294921875,3.85112524032593,1.88626325130463,98.5833358764648,2.05989265441895,705.505493164062,0.0442890860140324,5.75728093776192,2.08823262004885,98.2329042861661,2.90840911003878,1132.15188936779,0.0814973776041173,c(-72.161497, 44.488724)
"CUL-LAP",23700639,"nhdflowline_network.2487856","2001-02-27 21:00:00","Medium","1140540","Cultus River","2.541","17070301000977","With Digitized","0","StreamRiver","46006","0.0244407576939601","3","2","2","50070571","50070569","50067822","50062048","702.272","50001315","15.242","0","0","0","3","50062048","50075251","50062048","0","1","50062048","0","100","0","0","0","7.1703","52.0434","52.0434","0","0.0931240180815"," ","291.178390198",NA,"-9998","135605","136073","135605","0.00184179","0"," ","2.541","55.144","1.02528","53.24","1.02324","66.382","1.03613","33.488","0.85847","100.407","1.30958","55.509","0.97018","38.727","0.90261","129.381","1.45386","52.254","0.94928","57.683","1.04262","113.948","1.37915","52.381","0.95011","74.483","1.14935","85.11","1.22546","56.404","0.97583","85.888","1.21544","82.847","1.21243","70.589","1.06027","83.285","1.20074","75.984","1.17186","76.54","1.09328","72.523","1.13753","50.571","1.00398","77.028","1.09594","58.907","1.05085","38.043","0.9064","77.52","1.0986","36.213","0.88181","35.518","0.88498","73.09","1.0743","33.767","0.8609","38.277","0.90835","69.657","1.05498","49.053","0.98207","54.867","1.03476","65.811","1.0328","37.929","0.89608","76.326","1.17392","60.283","0.99982",NA,NA,NA,"17c","17","1","HUC-17","HUC-1707","HUC-170703","HUC-17070301","HUC-1707030101","HUC-170703010107",100,0,0,100,0,100,0,100,0,0,0,100,0.09,0.09,0.09,0.09,0.1,0.1,0.1,0.09,100,0.72,0,0.47,0.09,0.01,0,1.05,0.01,91.83,0,5.05,0.36,0,0,0.2,0.21,1.0243001953125,0.949918391737827,"Northern Appalachian and Atlantic Maritime Highlands","ATLANTIC HIGHLANDS","NORTHERN FORESTS","Cascades","WESTERN CORDILLERA","NORTHWESTERN FORESTED MOUNTAINS",6.64989995956421,12.6599998474121,0.639699995517731,1002.93194580078,4.32791709899902,2.07181429862976,98.5841827392578,2.39690685272217,872.456115722656,0.0493414327502251,9.0624627211155,2.76541471099242,52,5.03912527438922,936.521214998685,0.155541479826356,c(-72.02634, 44.37481)
"DES-BFA",23700413,"nhdflowline_network.2487364","2001-02-27 21:00:00","Medium","1140916","Deschutes River","3.773","17070301000177","With Digitized","23703977","ArtificialPath","55800","0.0418480732693409","2","5","5","50070467","50070463","50012147","50005662","610.757","50001315","931.912","0","0","0","2","50005662","50012240","50005662","0","1","50012058","13.26685","100","0","0","0","23.8077","3606.912","3606.912","0","0.0838503738484","StreamRiver","15.8482818701",NA,"-9998","126320","126499","126320","0.00047442","0"," ","3.773","1804.097","1.74817","1905.211","1.75454","1279.458","1.70865","1075.453","1.40234","1401.873","1.53715","660.768","1.29427","1933.767","1.80223","1981.53","1.78502","607.456","1.2512","3193.046","2.25803","2835.384","2.09447","981.058","1.52449","3282.775","2.28693","3423.61","2.28252","1772.258","1.97312","3033.006","2.20552","3966.536","2.44301","2376.196","2.25362","2430.955","1.99521","3070.63","2.17169","2085.79","2.12353","1786.016","1.74049","1334.26","1.50532","1099.88","1.6006","1299.808","1.51813","630.235","1.1121","703.625","1.32772","908.899","1.30884","512.546","1.02856","554.285","1.20644","787.265","1.23535","553.149","1.05831","497.697","1.15653","1015.643","1.3696","1042.367","1.35826","773.074","1.37997","913.188","1.31134","1214.781","1.44715","770.988","1.37843",NA,NA,NA,"17c","17","1","HUC-17","HUC-1707","HUC-170703","HUC-17070301","HUC-1707030104","HUC-170703010402",100,0,0,100,0.0124,100,0,100,0.0017,203073.7893,185215.764,100,0.62,0.62,0.65,0.6,0.66,0.68,0.67,0.61,100,2,0.01,1.86,0.54,0.15,0.02,0.33,0,65.41,0,24.77,1.97,0.22,0.01,1.4,1.31,1.14,0.594425466160221,"Northeastern Coastal Zone","MIXED WOOD PLAINS","EASTERN TEMPERATE FORESTS","Eastern Cascades Slopes and Foothills","WESTERN CORDILLERA","NORTHWESTERN FORESTED MOUNTAINS",8.76989936828613,14.5099992752075,3.03309988975525,1376.31799316406,5.80707263946533,1.72603487968445,95.7498245239258,3.20282435417175,1361.7470703125,0.0764196217060089,8.41840783140247,2.44834423879449,52.0015229473392,3.97616021704063,853.171921966423,0.11925228197059,c(-72.998644, 41.786437)
"DES-LAP",23700583,"nhdflowline_network.2487423","2001-02-27 21:00:00","Medium","1140916","Deschutes River","0.072","17070301000236","With Digitized","0","StreamRiver","46006","0.000669093002922015","2","2","2","50070545","50070546","50050235","50005662","703.932","50001315","24.875","0","0","0","2","50005662","50067823","50005662","50047430","2","50047431","0","100","1","0","0","0.0054","106.623","106.623","0","0.00218647442531"," ","300.328396011",NA,"-9998","135615","135642","135615","0.00375","0"," ","0.072","108.509","1.25178","106.601","1.25043","106.601","1.25043","65.867","1.03212","167.881","1.50734","167.881","1.50734","76.921","1.09426","208.852","1.65475","208.852","1.65475","115.677","1.28438","198.931","1.6204","198.931","1.6204","154.142","1.44509","173.07","1.52688","173.07","1.52688","189.907","1.57828","196.026","1.61019","196.026","1.61019","180.663","1.54507","177.606","1.54374","177.606","1.54374","136.855","1.37551","96.743","1.20312","96.743","1.20312","94.006","1.18258","58.138","0.99113","58.138","0.99113","61.303","1.00504","54.929","0.97085","54.929","0.97085","54.536","0.96308","57.479","0.98701","57.479","0.98701","96.888","1.19671","106.298","1.24901","106.298","1.24901","76.038","1.08946","139.776","1.3962","139.776","1.3962",NA,NA,NA,"17c","17","1","HUC-17","HUC-1707","HUC-170703","HUC-17070301","HUC-1707030101","HUC-170703010104",100,0,0,100,0,100,0,100,0,0,0,100,0.2,0.2,0.2,0.2,0.2,0.21,0.2,0.2,100,1.92,0.03,1.7,0.14,0.03,0,2.74,0,79.86,0.02,9.07,2.85,0,0,1.14,0.5,1.12770009765625,0.923558924410636,"Northeastern Coastal Zone","MIXED WOOD PLAINS","EASTERN TEMPERATE FORESTS","Cascades","WESTERN CORDILLERA","NORTHWESTERN FORESTED MOUNTAINS",8.96990013122559,14.7399997711182,3.2039999961853,1372.52197265625,5.81416893005371,1.71132910251617,95.6828155517578,3.22750926017761,1375.48742675781,0.0755722895264626,8.88339011698234,2.69368020790379,52,4.66479173411683,914.66257969926,0.151522667556093,c(-72.982522, 41.775521)
"DES-MAD",23719673,"nhdflowline_network.2490778","2001-02-27 21:00:00","Medium","1140916","Deschutes River","4.293","17070306000470","With Digitized","120049172","ArtificialPath","55800","0.0445410366371555","2","6","6","50072234","50072233","50008515","50005662","480.082","50001315","7849.933","0","0","0","2","50005662","50008553","50005662","0","1","50008477","0","100","0","0","0","9.558","18388.1277","18388.1277","0","0.0551052455824","StreamRiver","3.40361940197",NA,"-9998","41620","43890","42643","0.00290472","0"," ","4.293","3589.177","2.89567","3857.967","2.91084","4821.784","2.95828","2308.173","2.35501","2504.675","2.37741","5496.964","3.14925","3777.781","2.96699","3161.856","2.6499","5553.667","3.16477","5885.9","3.67282","4627.1","3.17459","5881.513","3.2531","6197.381","3.76621","6364.896","3.70339","5403.644","3.12354","5795.295","3.64521","8009.931","4.14417","4598.841","2.8925","4661.205","3.28083","6269.199","3.67619","4372.442","2.82415","3581.449","2.89271","2715.897","2.4683","4113.549","2.74392","2747.928","2.55358","1243.107","1.73469","4020.801","2.71461","2044.435","2.2273","1003.072","1.58112","4062.088","2.72769","1906.534","2.15745","1171.171","1.69025","4358.321","2.81983","2272.149","2.33798","2279.225","2.27633","4818.942","2.95745","1913.379","2.16097","2311.752","2.29119","5224.074","3.07347",NA,NA,NA,"17c","17","1","HUC-17","HUC-1707","HUC-170703","HUC-17070306","HUC-1707030603","HUC-170703060304",100,0.04,0,100,0.0414,100,0,100,0.0036,96667.3468,93011.7421,100,0.71,0.71,0.74,0.66,0.75,0.79,0.76,0.68,100,0.65,0.06,1.46,0.9,0.28,0.04,0.57,0,30.62,0,55.3,5.9,1.42,1.36,0.56,0.88,1.11020009765625,0.38840668961262,"Northern Appalachian and Atlantic Maritime Highlands","ATLANTIC HIGHLANDS","NORTHERN FORESTS","Blue Mountains","WESTERN CORDILLERA","NORTHWESTERN FORESTED MOUNTAINS",8.94989967346191,14.789999961853,3.10609984397888,1377.2919921875,6.00656604766846,1.85544991493225,96.0797653198242,3.14564776420593,1374.23645019531,0.078492671251297,8.62362733803129,3.17092043548264,51.94316161121,5.53217404881622,966.760804775485,0.0904022409674076,c(-72.99955, 41.831348)
